broker,count,bamount,bcount,samount,scount,top3
平安证券股份有限公司深圳深南东路罗湖商务中心证券营业部,14,1263.68,2,3113.09,12,"四方精创,春兴精工,多喜爱,"
银泰证券有限责任公司常州龙锦路证券营业部,1,0.0,0,16.25,1,退市大控
华泰证券股份有限公司无锡梁清路证券营业部,4,4965.3,3,958.19,1,"顺网科技,深大通"
深股通专用,37,79306.4,18,39219.92,19,"蓝思科技,杰瑞股份,三七互娱,"
中信证券股份有限公司奉化南山路证券营业部,3,2125.18,2,932.24,1,深大通
招商证券股份有限公司北京车公庄西路证券营业部,16,11209.45,10,8658.49,6,"宝鼎科技,飞荣达,深大通,"
光大证券股份有限公司沈阳十一纬路证券营业部,7,3508.5,5,1565.08,2,"贝斯美,南风股份,新通联,"
新时代证券股份有限公司宜昌东山大道证券营业部,4,1974.76,3,329.42,1,"国风塑业,丰乐种业,深大通,"
财通证券股份有限公司临安西苑路证券营业部,2,651.66,1,757.37,1,天夏智慧
国泰君安证券股份有限公司郑州黄河路证券营业部,10,4832.5,6,3378.32,4,"深大通,香山股份,深南股份,"
兴业证券股份有限公司陕西分公司,5,4527.99,5,0.0,0,"佳禾智能,奥联电子,深大通,"
东莞证券股份有限公司四川分公司,9,4491.73,8,312.07,1,"天夏智慧,东方日升,奥佳华,"
中信建投证券股份有限公司苏州工业园区星海街证券营业部,4,2202.26,1,3799.65,3,"正川股份,深大通,深南股份"
中信建投证券股份有限公司南昌榕门路证券营业部,1,0.0,0,993.93,1,天夏智慧
东吴证券股份有限公司苏州工业园区敦煌路证券营业部,3,0.0,0,3202.14,3,"深南股份,深大通"
国泰君安证券股份有限公司临海巾山中路证券营业部,1,0.0,0,257.82,1,天夏智慧
东吴证券股份有限公司上海西藏南路证券营业部,3,471.2,2,248.65,1,"宝塔实业,天夏智慧,菲林格尔"
东莞证券股份有限公司北京分公司,18,8429.34,11,3062.36,7,"界龙实业,龙津药业,聚力文化,"
中信建投证券股份有限公司郑州经三北路证券营业部,2,2330.64,1,2396.78,1,智度股份
中国银河证券股份有限公司杭州艮山西路证券营业部,1,2094.33,1,0.0,0,智度股份
平安证券股份有限公司福州长乐北路证券营业部,7,2529.2,5,727.57,2,"中公教育,深大通,当代东方,"
国泰君安证券股份有限公司徐州和平路证券营业部,1,1472.15,1,0.0,0,智度股份
兴业证券股份有限公司青海分公司,1,437.3,1,0.0,0,当代东方
招商证券股份有限公司上海世纪大道证券营业部,8,3127.87,3,6604.55,5,"国风塑业,智度股份,鹿港文化"
中信证券股份有限公司三明新市北路证券营业部,1,0.0,0,887.35,1,当代东方
中信建投证券股份有限公司北京丹棱街证券营业部,2,0.0,0,4165.46,2,"智度股份,圣邦股份"
海通证券股份有限公司淄博石化证券营业部,1,0.0,0,823.32,1,当代东方
联讯证券股份有限公司沈阳大西路证券营业部,5,2142.6,2,3686.35,3,"佳禾智能,智度股份"
财富证券有限责任公司长沙曙光中路证券营业部,1,4058.89,1,0.0,0,德展健康
中国银河证券股份有限公司成都科华北路证券营业部,3,1774.05,2,914.06,1,"方大集团,国风塑业"
中信证券股份有限公司杭州市心南路证券营业部,1,1599.35,1,0.0,0,国光电器
浙商证券股份有限公司厦门分公司,1,1789.98,1,0.0,0,德展健康
长城国瑞证券有限公司深圳深南大道证券营业部,11,2249.8,4,4092.24,7,"金通灵,浙江世宝,国风塑业,"
华鑫证券有限责任公司杭州飞云江路证券营业部,16,8536.84,10,5672.13,6,"金力永磁,国光电器,祥鑫科技,"
华鑫证券有限责任公司上海分公司,24,10843.21,16,6507.38,8,"国风塑业,新开源,龙津药业,"
华安证券股份有限公司淮北分公司,1,1281.04,1,0.0,0,德展健康
国泰君安证券股份有限公司杭州萧山市心中路证券营业部,1,1232.72,1,0.0,0,国光电器
华泰证券股份有限公司南通人民中路证券营业部,3,1355.89,2,1060.78,1,"佳禾智能,国风塑业"
国盛证券有限责任公司南昌洪都大道证券营业部,1,1155.27,1,0.0,0,德展健康
