code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000859,国风塑业,0.1,310.16,,4.84,,7462.07,310.24,,10-30
603368,柳药股份,1.51,-16.11,,10.76,,39080.93,34.94,,10-30
600287,江苏舜天,0.17,4.21,,4.13,,7349.42,4.15,,10-30
603421,鼎信通讯,0.45,-15.09,,8.79,,19755.23,-14.77,,10-30
300576,容大感光,0.26,0.0,,7.36,,3115.66,0.11,,10-30
002552,宝鼎科技,0.08,-900.0,,4.21,,2518.94,-831.98,,10-30
600323,瀚蓝环境,0.97,36.62,,13.67,,74370.96,36.3,,10-30
300609,汇纳科技,0.39,18.09,,7.99,,3931.82,19.13,,10-30
002600,领益智造,-0.05,-150.0,,-3.59,,-35186.81,-252.62,,10-30
300083,劲胜智能,-0.07,-124.14,,-1.84,,-10184.9,-124.35,,10-30
603043,广州酒家,0.74,37.51,,16.63,,29781.52,49.88,,10-30
600510,黑牡丹,0.11,-47.62,,1.44,,11384.87,-47.88,,10-30
600868,梅雁吉祥,0.01,-84.53,,0.79,,1832.46,-84.6,,10-30
300438,鹏辉能源,0.96,35.21,,12.6,,26936.01,39.32,,10-30
002760,凤形股份,0.21,-223.53,,3.12,,1809.27,-224.24,,10-30
300147,香雪制药,0.14,31.58,,2.65,,9188.82,30.55,,10-30
300470,日机密封,0.64,-12.25,,11.88,,12353.57,57.97,,10-30
603926,铁流股份,0.53,-38.37,,5.76,,6404.34,-28.11,,10-30
600983,惠而浦,0.46,-757.14,,8.76,,35431.94,-725.9,,10-30
300163,先锋新材,-0.32,-3300.0,,-24.13,,-14945.34,-2405.82,,10-30
300486,东杰智能,0.3,28.26,,5.1,,4557.6,38.3,,10-30
002470,金正大,0.3,3.45,,9.73,,95440.45,5.14,,10-30
600606,绿地控股,0.73,35.19,,13.49,,889330.48,35.51,,10-30
002165,红宝丽,0.04,-55.56,,1.6,,2453.42,-55.15,,10-30
600229,城市传媒,0.27,5.36,,7.94,,19169.03,5.38,,10-30
002818,富森美,1.28,11.3,,12.87,,56370.15,11.34,,10-30
300201,海伦哲,0.05,-28.4,,3.57,,5445.33,-28.03,,10-30
002502,鼎龙文化,0.04,-85.39,,0.96,,3343.6,-85.4,,10-30
000020,深华发A,0.0,50.0,,0.16,,49.75,42.8,,10-30
000826,启迪环境,0.54,-37.6,,5.12,,84803.4,2.07,,10-30
601126,四方股份,0.18,1.2,,3.65,,14438.8,1.17,,10-30
600267,海正药业,0.01,40.0,,0.11,,711.36,39.19,,10-30
000039,中集集团,0.76,81.28,,7.17,,231704.6,76.96,,10-30
002213,特尔佳,0.01,-77.2,,0.64,,234.17,-79.04,,10-30
600682,南京新百,-1.07,-405.71,,-16.44,,-121625.62,-424.52,,10-30
601238,广汽集团,0.97,-29.71,,13.49,,986033.5,10.02,,10-30
300575,中旗股份,1.82,68.52,,12.52,,13341.71,67.78,,10-30
002551,尚荣医疗,0.15,-31.82,,4.46,,10258.45,-29.17,,10-30
000905,厦门港务,0.04,-76.17,,0.85,,2277.18,-75.66,,10-30
300265,通光线缆,0.09,-57.14,,3.15,,3074.53,-56.25,,10-30
002567,唐人神,0.15,-43.61,,3.42,,12689.31,-40.53,,10-30
600716,凤凰股份,-0.03,-65.38,,-0.89,,-3264.55,-65.4,,10-30
000925,众合科技,0.07,-13.49,,1.75,,4091.29,38.08,,10-30
300281,金明精机,0.08,-39.0,,2.74,,3320.15,1.12,,10-30
300608,思特奇,0.03,-62.5,,0.48,,315.44,-54.81,,10-30
002583,海能达,0.07,133.33,,2.3,,13144.47,155.76,,10-30
603589,口子窖,1.9,26.67,,20.92,,114137.29,26.68,,10-30
600362,江西铜业,0.59,28.26,,4.22,,204498.02,29.37,,10-30
300625,三雄极光,0.46,-31.34,,5.88,,12976.43,-24.64,,10-30
000969,安泰科技,-0.08,-234.68,,-1.79,,-8043.26,-232.07,,10-30
603612,索通发展,0.5,-72.22,,7.08,,17069.12,-51.13,,10-30
600380,健康元,0.41,-68.36,,8.43,,64137.53,-68.34,,10-30
601878,浙商证券,0.17,-34.62,,4.09,,56189.65,-30.78,,10-30
600022,山东钢铁,0.22,96.53,,12.68,,241807.8,125.42,,10-30
603648,畅联股份,0.34,-21.33,,7.91,,12562.83,4.88,,10-30
600398,海澜之家,0.58,3.57,,22.04,,262823.95,4.6,,10-30
603677,奇精机械,0.27,-49.06,,5.76,,5210.07,-25.69,,10-30
600423,*ST柳化,-0.21,-53.33,,,,-8412.95,-53.0,,10-30
002647,仁东控股,0.05,175.13,,3.49,,2973.56,312.06,,10-30
300362,天翔环境,-0.58,-401.71,,-14.37,,-24269.01,-388.64,,10-30
002663,普邦股份,0.08,4.05,,2.7,,13898.88,6.43,,10-30
002036,联创电子,0.33,26.15,,9.35,,18336.26,22.11,,10-30
